Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
88140,Les Nourritures terrestres: suivi de Les nouvelles nourritures,André Gide,"Gide, André",,"=""""","=""""",0,3.68,Gallimard,Pocket Book,248,1995,1897,,2022/10/15,to-read,to-read (#44),to-read,,,,0,0
181713517,Le Trône de Jasmin,Tasha Suri,"Suri, Tasha",,"=""2017214752""","=""9782017214755""",0,4.11,HACHETTE HEROES,Paperback,688,2023,2021,,2024/06/02,to-read,to-read (#62),to-read,,,,0,0
55432592,"Jujitsuffragettes, les Amazones de Londres",Clément Xavier,"Xavier, Clément","Albertine Ralenti, Lisa Lugrin","=""2413022716""","=""9782413022718""",5,4.29,Delcourt,Hardcover,136,2020,,2024/05/31,2024/05/31,,,read,,,,1,0
58581738,"Ténébreuse, Livre premier",Vincent Mallié,"Mallié, Vincent","Hubert, Bruno Tatti","=""""","=""9791034746354""",4,3.88,Dupuis,Hardcover,69,2021,2021,2024/05/27,2024/05/27,,,read,,,,1,0
61827323,"Ténébreuse, Livre second",Hubert,"Hubert, Hubert","Vincent Mallié, Bruno Tatti","=""""","=""9791034759644""",4,3.89,Dupuis,Hardcover,72,2022,2022,2024/05/27,2024/05/27,,,read,,,,1,0
50183919,"Justicière, partie 2 (Les archives de Roshar, #3.2)",Brandon Sanderson,"Sanderson, Brandon",Mélanie Fazi,"=""2253083739""","=""9782253083733""",4,4.63,Le Livre de Poche,Mass Market Paperback,857,2019,2017,2024/05/21,2024/05/18,,,read,,,,1,0
42973885,Revenge ! (Shi #3),Zidrou,"Zidrou, Zidrou",José Homs,"=""2505073740""","=""9782505073741""",3,4.02,Dargaud,Hardcover,56,2018,2018,2024/05/20,2024/05/20,,,read,,,,1,0
36578024,Le Roi Démon (Shi #2),Zidrou,"Zidrou, Zidrou",José Homs,"=""2505067058""","=""9782505067054""",3,3.94,Dargaud,Hardcover,56,2017,2017,2024/05/20,2024/05/20,,,read,,,,1,0
150298792,Dostoïevski: Le Soleil Noir,Henrik Rehr,"Rehr, Henrik",Chantal Van den Heuvel,"=""2754831304""","=""9782754831307""",3,3.85,FUTUROPOLIS,Hardcover,138,2023,,2024/05/17,2024/05/17,,,read,,,,1,0
58891850,"Justicière, Volume 1",Brandon Sanderson,"Sanderson, Brandon",Mélanie Fazi,"=""""","=""""",3,4.47,LGF,Pocket Book,864,2021,2017,2024/05/17,2024/05/13,,,read,,,,1,0
50623756,"Le Livre des radieux, tome 2 (Les Archives de Roshar #2.2)",Brandon Sanderson,"Sanderson, Brandon",Mélanie Fazi,"=""""","=""""",4,4.81,Le Livre de Poche,Mass Market Paperback,936,2019,2014,2024/05/06,2024/05/06,,,read,,,,1,0
17751320,"New York (Ekhö monde miroir, #1)",Christophe Arleston,"Arleston, Christophe",Alessandro Barbucci,"=""2302024362""","=""9782302024366""",3,3.72,Soleil,Hardcover,49,2013,2013,2024/05/04,2024/05/04,,,read,,,,1,0
50623757,"Le Livre des Radieux , Volume 1 (Les Archives de Roshar, #2)",Brandon Sanderson,"Sanderson, Brandon",Mélanie Fazi,"=""""","=""""",4,4.70,LGF,Pocket Book,1104,2019,2014,2024/05/01,2024/05/01,,,read,,,,1,0
18000450,Crevaisons : Une aventure rocambolesque du soldat inconnu,Manu Larcenet,"Larcenet, Manu",Daniel Casanave,"=""2205062603""","=""9782205062601""",3,3.48,"Dargaud, collection Poisson Pilote",Hardcover,52,2009,2009,2024/04/28,2024/04/28,,,read,,,,1,0
28448788,"La Voie des rois, tome 2 (Les Archives de Roshar #1.2)",Brandon Sanderson,"Sanderson, Brandon",Mélanie Fazi,"=""2253191248""","=""9782253191247""",5,4.78,Le Livre de Poche,Mass Market Paperback,768,2015,2010,2024/04/28,2024/04/26,,,read,,,,1,0
25798779,"La Voie des rois, tome 1 (Les Archives de Roshar #1.1)",Brandon Sanderson,"Sanderson, Brandon",Mélanie Fazi,"=""225319123X""","=""9782253191230""",4,4.61,Le Livre de Poche,Paperback,768,2015,2010,2024/04/23,2024/04/21,,,read,,,,1,0
125198741,Cosaques - Tome 2 - Dans la gueule du loup (French Edition),Vincent Brugeas,"Brugeas, Vincent","Ronan Toulhoat, Yoann Guillo","=""2808212291""","=""9782808212298""",3,3.40,Le Lombard,Kindle Edition,0,2023,,2024/04/21,2024/04/21,,,read,,,,1,0
60683156,Le hussard ailé (Cosaques #1),Vincent Brugeas,"Brugeas, Vincent","Yoann Guillo, Ronan Toulhoat","=""2803672294""","=""9782803672295""",3,3.30,Le Lombard,Hardcover,64,2022,,2024/04/21,2024/04/21,,,read,,,,1,0
60110705,"Hovanne l'irrésolue (Sangre, #3)",Christophe Arleston,"Arleston, Christophe","Adrien Floch, Claude Guth","=""""","=""""",3,4.31,Éditions Soleil,Unknown Binding,56,2022,,2024/04/16,2024/04/16,,,read,,,,1,0
55853772,"Les Marguerites de l'hiver (Le Château des animaux, #2)",Xavier Dorison,"Dorison, Xavier","Félix Delep, Jessica Bodard","=""2203172509""","=""9782203172500""",4,4.50,Casterman,Hardcover,55,2020,2020,2024/04/16,2024/04/16,,,read,,,,1,0
50831481,"Miss Bengalore (Le Château des animaux, #1)",Xavier Dorison,"Dorison, Xavier","Félix Delep, Jessica Bodard","=""2203148888""","=""9782203148888""",4,4.36,Casterman,Hardcover,71,2019,2019,2024/04/16,2024/04/16,,,read,,,,1,0
45021777,Le Patient,Timothé Le Boucher,"Boucher, Timothé Le",,"=""2344028072""","=""9782344028070""",0,3.94,Glénat,Hardcover,292,2019,2019,,2024/04/16,to-read,to-read (#61),to-read,,,,0,0
198564344,Donnadion le Béat,Christophe Arleston,"Arleston, Christophe",Stefano Vergani,"=""2302098390""","=""9782302098398""",3,3.72,SOLEIL,Hardcover,0,2023,,2024/04/16,2024/04/16,,,read,,,,1,0
36386332,"Fesolggio l'inexorable fâcheux (Sangre, #2)",Christophe Arleston,"Arleston, Christophe",Adrien Floch,"=""2302062825""","=""9782302062825""",4,4.08,Soleil,Kindle Edition,58,2017,2017,2024/04/15,2024/04/15,,,read,,,,1,0
31742455,"Sangre la Survivante (Sangre, #1)",Christophe Arleston,"Arleston, Christophe","Adrien Floch, Claude Guth, Guy Mathias, Denis Leclère, Fred Blanchard","=""2302053729""","=""9782302053724""",4,4.00,Soleil Productions,Hardcover,56,2016,2016,2024/04/15,2024/04/15,,,read,,,,1,0
51183682,La Maison,Emma Becker,"Becker, Emma",,"=""2081470403""","=""9782081470408""",0,3.49,Flammarion,Paperback,400,2019,2019,,2024/04/11,currently-reading,currently-reading (#4),currently-reading,,,,1,0
1671983,Les héritiers. Les étudiants et la culture,Pierre Bourdieu,"Bourdieu, Pierre",Jean-Claude Passeron,"=""2707300810""","=""9782707300812""",0,4.14,MINUIT,Paperback,192,1984,1964,,2024/04/09,to-read,to-read (#60),to-read,,,,0,0
15704307,"Saga, Volume 1",Brian K. Vaughan,"Vaughan, Brian K.",Fiona Staples,"=""1607066017""","=""9781607066019""",0,4.16,Image Comics,Paperback,160,2012,2012,,2024/04/07,to-read,to-read (#59),to-read,,,,0,0
135987469,Bourdieu - Une enquête algérienne,Pascal Génot,"Génot, Pascal",Olivier Thomas,"=""2368460764""","=""9782368460764""",5,4.31,STEINKIS,Paperback,244,2023,,2024/04/07,2024/02/09,,,read,,,,1,0
59853996,Proies,Andrée A. Michaud,"Michaud, Andrée A.",,"=""""","=""""",4,3.64,Québec Amérique,Paperback,338,2022,,2024/04/02,2024/04/02,,,read,,,,1,0
6570742,La Route,Cormac McCarthy,"McCarthy, Cormac",,"=""2757811614""","=""9782757811610""",0,4.00,Points,Mass Market Paperback,256,2009,2006,,2024/04/01,to-read,to-read (#58),to-read,,,,0,0
54765790,A.B.C. contre Poirot,Frédéric Brrémaud,"Brrémaud, Frédéric","Alberto Zanon, Agatha Christie","=""2889325253""","=""9782889325252""",3,3.84,Paquet,Hardcover,64,2020,,2022/07/20,2022/07/17,,,read,,,,1,0
1391239,Brüsel (Obscure Cities),François Schuiten,"Schuiten, François",Benoît Peeters,"=""1561632910""","=""9781561632916""",4,3.76,Nbm Pub Co,Hardcover,119,2003,1992,2024/03/23,2024/03/23,,,read,,,,1,0
16163138,Du vent dans les branches de sassafras,René de Obaldia,"Obaldia, René de",,"=""""","=""""",2,3.95,Le Livre de Poche,Paperback,187,1972,1966,2024/03/21,2024/03/16,,,read,,,,1,0
60371110,Les abeilles grises,Andrey Kurkov,"Kurkov, Andrey","Andreï Kourkov, Paul Lequesne","=""""","=""9791034905102""",4,4.06,LIANA LÉVI,Paperback,432,2022,2018,2024/03/11,2024/02/25,,,read,,,,1,0
17935537,Kaze no Shō: Le livre du vent,Kan Furuyama,"Furuyama, Kan",Jirō Taniguchi,"=""2845382928""","=""9782845382923""",4,3.54,Panini Comics (Coll. Génération Comics),Paperback,240,2004,1992,2024/02/13,2024/02/13,,,read,,,,1,0
123693556,Astra Nova,Lisa Blumen,"Blumen, Lisa",,"=""2390041027""","=""9782390041023""",5,4.06,Employe Du Moi,Hardcover,176,2023,2023,2024/02/11,2024/02/11,,,read,,,,1,0
60112055,Le banquier anarchiste,Fernando Pessoa,"Pessoa, Fernando",Françoise Laye,"=""2267043505""","=""9782267043501""",5,3.76,BOURGOIS,Pocket Book,120,2021,1922,2022/03/19,2022/03/19,,,read,,,,1,0
57767248,Le Prieuré de l'oranger : Partie 2,Samantha Shannon,"Shannon, Samantha",,"=""2290255858""","=""9782290255858""",3,4.20,J'ai Lu,Mass Market Paperback,601,2021,2019,2024/01/23,2024/01/20,,,read,,,,1,0
